Fold #,Percentile,Predicted Depth,Reranked All Metric Value,Initial Metric Value,Maximum Metric Value,Depth of Maximum Metric Value,Metric Value At Predicted Depth,Ratio (Metric at Depth / Reranked All),Ratio (Metric at Depth / Maximum Metric Value)
0,20,19,11.258790740070442,11.258790740070442,11.258790740070442,14,10.969725913752557,0.9743254108730263,0.9743254108730263
0,20,19,11.338710264439491,11.338710264439491,12.061977845523923,15,11.916839917075269,1.0509872497976167,0.9879673192649319
0,20,19,12.051203246072582,12.051203246072582,12.051203246072582,204,1.6309297535714575,0.1353333538792459,0.1353333538792459
0,20,19,11.60490123698269,11.60490123698269,11.60490123698269,14,11.60490123698269,1.0,1.0
0,20,19,11.910577769438769,11.910577769438769,11.910577769438769,859,10.032230115371831,0.8422958406865391,0.8422958406865391
0,20,19,12.02614831116142,12.02614831116142,12.02614831116142,34,10.525395771917577,0.8752092107619361,0.8752092107619361
0,20,19,12.031332225397405,12.031332225397405,12.031332225397405,224,11.734574240144733,0.9753345697971639,0.9753345697971639
0,20,24,12.86666812285831,12.86666812285831,12.86666812285831,106,10.554907959774637,0.8203295413381565,0.8203295413381565
0,20,24,12.630678014265037,12.630678014265037,13.630678014265037,57,13.315213137479308,1.0541962294059875,0.9768562593544076
0,20,24,12.666414927360249,12.666414927360249,12.954760380712608,25,12.898971460527664,1.018360091194003,0.9956935583101942
0,20,24,12.421618608057804,12.421618608057804,12.421618608057804,901,8.75678817594287,0.7049635359326208,0.7049635359326208
0,20,24,12.725118315497438,12.725118315497438,13.014183141815328,356,11.147886552836091,0.8760536661776657,0.8565951801475179
0,20,24,12.441137493823682,12.441137493823682,12.441137493823682,113,12.127330334580789,0.9747766504952878,0.9747766504952878
0,20,24,12.692814977828087,12.692814977828087,12.692814977828087,640,5.786619332430909,0.45589724127697623,0.45589724127697623
0,20,24,12.540583192283169,12.540583192283169,12.540583192283169,136,11.522604622105282,0.9188252607897615,0.9188252607897615
0,20,24,12.66569555439472,12.66569555439472,13.040583192283169,340,6.474235896161738,0.5111630757550713,0.49646827911752445
0,20,24,12.630678014265037,12.630678014265037,12.669941124053397,267,3.355676535189823,0.2656766747913244,0.264853364536888
0,20,19,13.243825207030495,13.243825207030495,13.630678014265037,40,9.519701698597624,0.7188030308301021,0.6984026538250617
0,20,19,13.329648018601056,13.329648018601056,13.329648018601056,19,13.329648018601056,1.0,1.0
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,146,12.448018658525644,0.9132354711554559,0.9132354711554559
0,20,19,13.341613187947148,13.341613187947148,13.630678014265037,20,13.341613187947148,1.0,0.9787930706003494
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,117,8.863943716359554,0.6502936763001144,0.6502936763001144
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,17,13.630678014265037,1.0,1.0
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,22,13.341613187947148,0.9787930706003494,0.9787930706003494
0,20,19,13.341613187947148,13.341613187947148,13.630678014265037,282,10.943418484552009,0.8202470218847541,0.8028521012013704
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,17,13.630678014265037,1.0,1.0
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,17,13.630678014265037,1.0,1.0
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,25,13.329648018601056,0.977915258848537,0.977915258848537
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,14,13.315213137479308,0.9768562593544076,0.9768562593544076
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,27,13.341613187947148,0.9787930706003494,0.9787930706003494
0,20,19,13.243825207030495,13.243825207030495,13.630678014265037,331,4.366272617632265,0.32968364874782746,0.3203268841845424
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,29,12.391784982164106,0.9091099481035073,0.9091099481035073
0,20,19,13.329648018601056,13.329648018601056,13.630678014265037,49,9.666771961378048,0.725208343677823,0.7091923051268172
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,45,10.00010529471138,0.7336469458266037,0.7336469458266037
0,20,19,13.200001456191645,13.200001456191645,13.329648018601056,12,12.829648018601056,0.9719429244898401,0.9624896321866663
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,60,9.45711997885798,0.6938114134132385,0.6938114134132385
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,29,9.973252110445706,0.7316768909080171,0.7316768909080171
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,0,13.630678014265037,1.0,1.0
0,20,19,13.630678014265037,13.630678014265037,13.630678014265037,31,13.341613187947148,0.9787930706003494,0.9787930706003494
