query_id	NQC	UEF	RSD	OddsRatio	WIG	Scaled NQC	QV-NQC Variant	DenseQPP	SMV	Sigma_max	Sigma_x	max_dcg_value_monoelectra	max_dcg_value_monoelectra_depth	initial_splade_retrieved_dcg_value	monoelectra_reranked_all_dcg_value
1040068	31.617334	107.5457	3.4270012	6.805043	9.84328	31.617334	31.617334	0.009566535	10.007377	1.4450685	1.4370831	13.014183141815328	25	9.090021599684349	13.014183141815327
1040154	31.829052	112.2826	3.6693478	10.361836	14.129108	31.829052	31.829052	0.008858902	11.457158	1.5941609	1.5941609	13.05254836162926	10	13.028618022937074	13.052548361629261
1040401	51.742157	191.80438	7.8588743	9.662052	7.328908	51.742157	51.742157	0.011825106	13.540955	1.5143833	1.5143833	12.56563812719433	12	12.294441757424046	11.312310213971651
1040633	159.26465	565.8756	37.533367	12.416572	14.911217	159.26465	159.26465	0.008955787	29.80238	2.530359	2.530359	13.630678014265037	21	12.200001456191645	13.630678014265037
1040694	15.979641	54.269066	2.3672664	7.6554093	8.347814	15.979641	15.979641	0.010264347	6.84908	1.1295415	0.9887032	2.962801378733845	44	2.751146832086206	2.962801378733845
1040886	20.686487	70.19336	2.5461853	8.632352	5.8462734	20.686487	20.686487	0.009970032	8.2555275	1.1193455	1.1112757	13.630678014265037	0	13.630678014265037	13.052548361629261
1042505	14.129529	52.008987	3.452493	9.578486	12.579571	14.129529	14.129529	0.009151418	6.9341297	1.0806718	1.0806718	11.138395144546797	11	10.673467320746552	10.56026549191102
1043670	28.475777	101.14562	2.3825343	13.589916	5.2962914	28.475777	28.475777	0.010894344	11.394364	1.1863867	1.186233	6.516354018913372	3	6.254494511770458	6.242529342424365
1044289	192.20596	625.2659	18.298822	14.501645	10.94509	192.20596	192.20596	0.008406846	27.16438	2.9369338	2.9146013	8.12088372201699	15	7.80541884523126	8.12088372201699
1045590	712.0589	2542.8582	37.777134	28.598024	28.36015	712.0589	712.0589	0.0077539883	87.09335	9.086056	3.5558372	13.040583192283169	13	12.418185032631948	13.040583192283167
1045600	37.67019	127.62828	5.399969	6.7224526	12.137927	37.67019	37.67019	0.009581177	11.95553	1.5496346	1.5496346	13.630678014265037	0	13.630678014265037	13.630678014265037
1046416	35.74924	120.71548	2.4245725	6.298152	11.084469	35.74924	35.74924	0.01025125	10.716656	1.577874	1.5658374	10.783533072995452	0	10.783533072995452	10.214700750063896
1046469	93.600365	377.31924	11.672027	14.102873	26.895657	93.600365	93.600365	0.00847978	24.726322	3.071022	2.882191	8.860465430210786	12	7.642474384629632	7.7186717029336425
1046614	33.817184	117.845085	3.935622	9.098251	13.042215	33.817184	33.817184	0.00919902	11.328991	1.3175498	1.3175498	10.660690157167636	0	10.660690157167636	10.416839917075269
